,LINKUSDT,SANDUSDT,Spread,Zscore
150,7.027,1.0582,0.0005519999999998859,-0.13815541792037717
151,7.069,1.0694,-0.03181599999999918,-1.2777109372849886
152,7.06,1.0672,-0.026207999999999565,-1.0668927730435107
153,7.074,1.0711,-0.038103999999999694,-1.4890797966690341
154,7.073,1.0676,-0.015863999999999656,-0.7034905160829502
155,7.073,1.0714,-0.04109599999999869,-1.4330725167895193
156,7.108,1.0737,-0.02136800000000072,-0.8309309809287719
157,7.084,1.073,-0.04071999999999942,-1.3666064410239782
158,7.062,1.0717,-0.054088000000000136,-1.6411573933308512
159,7.023,1.0622,-0.03000800000000048,-0.905750367835704
160,7.013,1.0634,-0.04797599999999935,-1.3117839188064553
161,7.032,1.0676,-0.056864000000000026,-1.3992258036742127
162,7.004,1.0611,-0.0417039999999993,-0.9025342350416041
163,7.029,1.0616,-0.020024000000000264,-0.2629318219570816
164,7.002,1.0624,-0.05233600000000038,-1.0479897855291462
165,6.842,1.0379,-0.04965600000000059,-0.8983717903173633
166,6.765,1.0237,-0.03236799999999995,-0.3194881872476657
167,6.768,1.0257,-0.042648000000000685,-0.5976138158480792
168,6.786,1.0261,-0.027303999999999995,0.12640407959621489
169,6.843,1.0299,0.004464000000000468,1.7480219673848016
170,6.824,1.0272,0.0033920000000007278,1.9064745476513054
171,6.784,1.0247,-0.020007999999999804,0.7337833240849939
172,6.788,1.0264,-0.027295999999998877,0.29206750491535755
173,6.757,1.018,-0.002520000000000522,1.571708484370556
174,6.883,1.0314,0.03450400000000009,2.6957104126502935
175,6.857,1.0249,0.051664000000001487,2.643924205108031
176,6.859,1.0247,0.054992000000000374,2.2486134086517753
177,6.791,1.0124,0.06866400000000095,2.1891563268676704
178,6.823,1.0163,0.07476800000000061,1.9857240307449449
179,6.881,1.0275,0.058399999999999785,1.4357149837618426
180,6.845,1.0215,0.062239999999999185,1.3637368127943297
181,6.922,1.0315,0.07283999999999935,1.4292470826464825
182,7.044,1.0517,0.060711999999999655,1.0714883693926125
183,7.065,1.0473,0.11092800000000125,1.8689736741436747
184,7.075,1.0528,0.0844080000000007,1.2048776548645435
185,7.074,1.0532,0.08075200000000038,1.0413585931131428
186,7.031,1.0485,0.06895999999999969,0.7283940134658944
187,7.007,1.0463,0.05956799999999962,0.45497780617254074
188,6.776,1.0191,0.009176000000000961,-0.8148199768380457
189,6.85,1.0285,0.02076000000000011,-0.6292502776115169
190,6.924,1.0379,0.03234400000000015,-0.36545280463388513
191,7.025,1.0434,0.0968239999999998,1.270001212728831
192,7.046,1.0464,0.09790400000000066,1.2237356012982294
193,7.039,1.0436,0.10949599999999915,1.5390123867716747
194,7.069,1.0535,0.07375999999999916,0.29230379432102777
195,6.989,1.0429,0.06414400000000064,-0.1215770996437651
196,7.122,1.0579,0.09754400000000008,1.058688364221969
197,7.121,1.0528,0.13040800000000097,1.950493381117139
198,7.217,1.0522,0.23039200000000015,3.314030460939408
199,7.173,1.0493,0.20564800000000094,2.2520519038255835
