,SUSHIUSDT,WAVESUSDT,Spread,Zscore,HedgeRatio
43,3.238,32.566,-1.3212400000000009,-1.2045928222888853,0.14
44,3.306,32.377,-1.2267800000000006,-1.0224872975025552,0.14
45,3.451,32.554,-1.1065600000000004,-0.8032403521078778,0.14
46,3.681,31.961,-0.7935400000000001,-0.29180445726099347,0.14
47,3.662,31.327,-0.7237800000000005,-0.08761122633758733,0.14
48,3.61,31.168,-0.7535200000000004,-0.04334521857908485,0.14
49,3.631,32.682,-0.9444800000000009,-0.34291278820753834,0.14
50,3.989,32.509,-0.5622600000000002,1.021061612019019,0.14
51,3.807,43.241,-2.2467400000000004,-3.313920461824651,0.14
52,4.217,50.462,-2.8476800000000013,-3.2865787629132743,0.14
53,4.475,52.034,-2.8097600000000007,-2.505455535524638,0.14
54,4.401,54.454,-3.2225600000000014,-2.4624490770535283,0.14
55,4.511,52.241,-2.802740000000001,-1.6878927671305675,0.14
56,4.355,48.922,-2.4940799999999994,-1.1930962751248078,0.14
57,4.448,46.879,-2.1150599999999997,-0.6871169483035762,0.14
58,4.346,34.753,-0.5194200000000002,1.121682619778213,0.14
59,4.085,30.478,-0.18192000000000075,1.3960166656792252,0.14
60,3.566,28.806,-0.46684000000000037,1.0457109534565074,0.14
61,3.638,30.284,-0.6017600000000005,0.8861690234701217,0.14
62,3.385,26.319,-0.29966000000000026,1.1189797966238513,0.14
63,3.561,24.755,0.09529999999999994,1.3855449112301306,0.14
64,3.397,23.154,0.15543999999999958,1.3120251018883031,0.14
65,3.108,23.717,-0.21238,0.9062431919211968,0.14
66,3.22,22.153,0.11858000000000013,1.1153426120769152,0.14
67,3.333,21.707,0.2940199999999997,1.1811637692247574,0.14
68,3.217,21.255,0.24129999999999985,1.067221091236165,0.14
69,3.291,22.162,0.1883199999999996,0.963941983223801,0.14
70,3.332,21.485,0.3240999999999996,0.997471612835279,0.14
71,3.192,20.0,0.3919999999999999,0.9909398777863444,0.14
72,3.293,20.48,0.42579999999999973,0.9245201806739014,0.14
73,3.362,21.15,0.4009999999999998,0.8292868879398805,0.14
74,3.509,20.314,0.6650399999999994,0.9696992453651927,0.14
75,3.45,19.248,0.75528,1.0264493013654286,0.14
76,3.528,19.112,0.8523200000000002,1.1278591331884955,0.14
77,3.417,18.454,0.8334399999999995,1.1687589945232002,0.14
78,3.364,17.463,0.9191799999999994,1.5486258711316374,0.14
79,3.281,16.949,0.9081399999999995,1.3994647300218555,0.14
80,2.907,15.247,0.7724199999999999,0.9990013750171107,0.14
81,2.996,16.176,0.73136,0.8370817629601454,0.14
82,2.989,15.427,0.8292199999999998,1.042400872825218,0.14
83,2.705,14.16,0.7225999999999999,0.6907999945318757,0.14
