,XRPUSDT,SFPUSDT,Spread,Zscore,HedgeRatio
63,0.3815,0.3969,0.008414000000000033,1.208405929988801,0.94
64,0.3786,0.3966,0.005796000000000023,0.7637158986945535,0.94
65,0.3779,0.3945,0.007070000000000021,0.8610449993608358,0.94
66,0.3767,0.396,0.004459999999999964,0.4090283819027105,0.94
67,0.3766,0.3955,0.004830000000000001,0.39124184062236317,0.94
68,0.3783,0.3969,0.005214000000000052,0.38309071085487967,0.94
69,0.3787,0.3966,0.005896000000000012,0.4422898116284745,0.94
70,0.3777,0.3989,0.002734000000000014,-0.36779972234993913,0.94
71,0.3783,0.3982,0.003992000000000051,-0.09830806689461669,0.94
72,0.3822,0.4,0.006199999999999983,0.3888314188296231,0.94
73,0.3835,0.401,0.00656000000000001,0.41203755294821515,0.94
74,0.38,0.3969,0.006914000000000031,0.43310834502271767,0.94
75,0.3789,0.3962,0.006472000000000033,0.20459740035219562,0.94
76,0.3803,0.3974,0.006744000000000083,0.20207956514860978,0.94
77,0.3789,0.393,0.009480000000000044,1.4265968463683663,0.94
78,0.3788,0.3935,0.008910000000000029,1.0325295575734807,0.94
79,0.3801,0.3944,0.009364000000000039,1.213956992850465,0.94
80,0.3807,0.394,0.01033999999999996,1.6100299543488765,0.94
81,0.3829,0.394,0.012539999999999996,2.34010877479378,0.94
82,0.3823,0.395,0.010999999999999954,1.5333267025246893,0.94
83,0.3823,0.3922,0.013631999999999977,2.181608533602661,0.94
84,0.3744,0.3715,0.025190000000000046,3.5293790740449764,0.94
85,0.3698,0.363,0.02858000000000005,2.9638295043778404,0.94
86,0.3655,0.3573,0.029637999999999998,2.45584133229568,0.94
87,0.3661,0.3605,0.027230000000000032,1.848778101983877,0.94
88,0.3651,0.3603,0.026417999999999997,1.5511618611371603,0.94
89,0.3651,0.3595,0.027170000000000027,1.4569992005788142,0.94
90,0.3641,0.36,0.0257,1.1752382122905343,0.94
91,0.3469,0.3418,0.02560800000000002,1.0631170445160907,0.94
92,0.3478,0.3475,0.021150000000000058,0.5201902991416724,0.94
93,0.3415,0.345,0.01720000000000005,0.029055955457789155,0.94
94,0.342,0.346,0.016760000000000053,-0.0792772742665218,0.94
95,0.3418,0.344,0.018440000000000012,0.05681974620976843,0.94
96,0.3396,0.3465,0.013890000000000069,-0.5744154290827977,0.94
97,0.3384,0.3501,0.009305999999999981,-1.2100663310784983,0.94
98,0.3361,0.3451,0.011705999999999994,-0.9209466724184601,0.94
99,0.3349,0.3458,0.009848000000000023,-1.1858562229530951,0.94
100,0.3358,0.3479,0.008774000000000004,-1.3207013423988492,0.94
101,0.3389,0.3528,0.007267999999999997,-1.46479542330654,0.94
102,0.3377,0.3493,0.009358000000000033,-1.1476091816030047,0.94
103,0.3376,0.349,0.009540000000000048,-1.1046636465651154,0.94
104,0.3405,0.3501,0.011406000000000027,-0.8448383193675264,0.94
105,0.3405,0.349,0.012440000000000062,-0.6444983581353925,0.94
106,0.3352,0.341,0.014660000000000006,-0.29216960738187175,0.94
107,0.3348,0.3444,0.011064000000000018,-0.7051165445642568,0.94
108,0.3321,0.3453,0.007518000000000025,-1.1261204385801196,0.94
109,0.3349,0.3455,0.010130000000000028,-0.6631198516336729,0.94
110,0.3353,0.346,0.010060000000000013,-0.612163873936343,0.94
111,0.3355,0.3517,0.0049020000000000175,-1.4998970869095722,0.94
112,0.3364,0.4297,-0.06751800000000002,-4.251716449693078,0.94
113,0.3391,0.3765,-0.01480999999999999,-1.1616315197171283,0.94
114,0.3381,0.4012,-0.03902799999999995,-2.083072932740273,0.94
115,0.3388,0.3854,-0.023475999999999997,-1.1955844441625614,0.94
116,0.3384,0.3886,-0.02688400000000002,-1.2250425120933595,0.94
117,0.3371,0.3814,-0.02141599999999999,-0.8852769770830057,0.94
118,0.3381,0.3812,-0.020227999999999968,-0.7599102661072303,0.94
119,0.3381,0.3726,-0.012143999999999933,-0.3429984314087903,0.94
120,0.3385,0.3662,-0.005727999999999955,-0.01369883509599011,0.94
121,0.3377,0.3577,0.0014620000000000188,0.34033501982571573,0.94
122,0.3405,0.3617,0.0005020000000000024,0.31267317885186274,0.94
123,0.34,0.3595,0.0020700000000000718,0.4073185789703918,0.94
124,0.3401,0.358,0.0035800000000000276,0.49753839733912975,0.94
125,0.3387,0.3554,0.004624000000000017,0.5702196832776858,0.94
126,0.3378,0.353,0.005980000000000041,0.6598152267215017,0.94
127,0.3348,0.3461,0.009465999999999974,0.8550717168612394,0.94
128,0.334,0.3425,0.012050000000000005,0.9797749553586236,0.94
129,0.3323,0.3363,0.016178000000000026,1.1419083181488663,0.94
130,0.334,0.3402,0.014212000000000058,1.0265692660076875,0.94
131,0.3344,0.339,0.015739999999999976,1.0734984953053304,0.94
132,0.3338,0.339,0.015139999999999987,1.002277167937209,0.94
133,0.3341,0.3404,0.014124000000000025,1.0000199707942963,0.94
134,0.3354,0.3435,0.012509999999999966,0.8205561522669418,0.94
135,0.3358,0.3447,0.011782000000000015,0.7311398267460204,0.94
136,0.3358,0.3472,0.009431999999999996,0.4937900829061094,0.94
137,0.3339,0.3455,0.009130000000000027,0.39677984158109997,0.94
138,0.3352,0.3475,0.008550000000000058,0.2568478892969493,0.94
139,0.3355,0.3431,0.012985999999999998,0.7140834828704876,0.94
140,0.3395,0.349,0.011440000000000061,0.445704840540515,0.94
141,0.341,0.3509,0.011154000000000053,0.31518121348972916,0.94
142,0.3432,0.353,0.011380000000000057,0.28595112436873904,0.94
143,0.3425,0.354,0.009740000000000082,-0.20336885200468358,0.94
144,0.3425,0.3562,0.007672000000000012,-0.9004414926630042,0.94
145,0.3418,0.3535,0.009510000000000018,-0.5116478745271729,0.94
146,0.3408,0.3555,0.006630000000000025,-1.5722121896705101,0.94
147,0.3399,0.3565,0.0047900000000000165,-2.103795887304693,0.94
148,0.3416,0.3565,0.006490000000000051,-1.422076953097502,0.94
149,0.3407,0.3589,0.0033340000000000036,-2.0323372542649794,0.94
150,0.34,0.3594,0.0021640000000000548,-2.0560255350636036,0.94
151,0.3395,0.362,-0.0007799999999999474,-2.3236003292544436,0.94
152,0.3405,0.3635,-0.0011899999999999689,-2.090830718464364,0.94
153,0.3419,0.3645,-0.0007300000000000084,-1.7724831764535942,0.94
154,0.3459,0.3649,0.0028940000000000077,-0.9172814186103223,0.94
155,0.3448,0.365,0.0017000000000000348,-1.073353576513457,0.94
156,0.3443,0.363,0.003080000000000027,-0.6940263107898073,0.94
157,0.3418,0.3595,0.00387000000000004,-0.4604551794098531,0.94
