,XRPUSDT,XEMUSDT,Spread,Zscore
97,0.3698,0.05,0.0008000000000000229,-2.2988256933812643
98,0.3655,0.0489,0.004618000000000011,-0.7722776331937353
99,0.3661,0.0489,0.005218,-0.5556585573589338
100,0.3651,0.0478,0.012335999999999958,1.8611484794316027
101,0.3651,0.0478,0.012335999999999958,1.6358234543896388
102,0.3641,0.0478,0.011335999999999957,1.1878460125558654
103,0.3469,0.0464,0.0044680000000000275,-0.9460292650710963
104,0.3478,0.0467,0.00315399999999999,-1.315949258551281
105,0.3415,0.0467,-0.003145999999999982,-2.5154100335649967
106,0.342,0.0456,0.005472000000000032,-0.32843191901407415
107,0.3418,0.0456,0.005271999999999999,-0.37093910948217346
108,0.3396,0.0456,0.003072000000000019,-0.8754081635217116
109,0.3384,0.0456,0.0018719999999999848,-1.0949153095051518
110,0.3361,0.0445,0.00769000000000003,0.2711157761347571
111,0.3349,0.0445,0.006489999999999996,-0.00962988326944397
112,0.3358,0.0447,0.00591400000000003,-0.1215210194884309
113,0.3389,0.0458,0.0008960000000000079,-1.1907259058422361
114,0.3377,0.0455,0.0019100000000000228,-0.8695958964526695
115,0.3376,0.0453,0.003286000000000011,-0.48115605849017457
116,0.3405,0.0456,0.003972000000000031,-0.23704107544911432
117,0.3405,0.0454,0.005448000000000008,0.14998483973675195
118,0.3352,0.045,0.0030999999999999917,-0.5075187001011793
119,0.3348,0.0453,0.00048599999999998644,-1.1194156240239934
120,0.3321,0.0452,-0.0014759999999999773,-1.4583959713685006
121,0.3349,0.0456,-0.0016280000000000183,-1.406318112475461
122,0.3353,0.0455,-0.0004899999999999904,-1.071750179342457
123,0.3355,0.0457,-0.0017659999999999343,-1.4198657225356233
124,0.3364,0.0456,-0.000128000000000017,-0.8062199819232123
125,0.3391,0.0461,-0.0011180000000000079,-1.0335252861612538
126,0.3381,0.0461,-0.0021180000000000088,-1.4004270002271217
127,0.3388,0.0465,-0.004369999999999985,-1.8484197232214374
128,0.3384,0.0465,-0.0047699999999999965,-1.7286170994634946
129,0.3371,0.0461,-0.0031180000000000097,-1.13747411533967
130,0.3381,0.0461,-0.0021180000000000088,-0.7931968546709883
131,0.3381,0.0462,-0.0028559999999999697,-0.9316048989308332
132,0.3385,0.0463,-0.0031939999999999746,-0.9645820036335168
133,0.3377,0.0458,-0.00030399999999997096,0.06818584870931906
134,0.3405,0.0459,0.0017579999999999818,0.7888257702111747
135,0.34,0.0456,0.0034720000000000306,1.3334496800184494
136,0.3401,0.0454,0.005047999999999997,1.76804061861899
137,0.3387,0.0453,0.004386000000000001,1.527028923624973
138,0.3378,0.045,0.005699999999999983,1.9384097578554118
139,0.3348,0.0444,0.007127999999999968,2.1146566232627753
140,0.334,0.0445,0.005590000000000039,1.496061290234914
141,0.3323,0.0441,0.006841999999999959,1.617836355651363
142,0.334,0.0449,0.002638000000000029,0.48237268880669165
143,0.3344,0.045,0.0022999999999999687,0.36042955854772224
144,0.3338,0.045,0.0016999999999999793,0.1647384696518905
145,0.3341,0.0449,0.002738000000000018,0.39978907167888433
146,0.3354,0.0452,0.0018239999999999923,0.12581495005369284
147,0.3358,0.0453,0.0014859999999999873,-0.008647481914246925
148,0.3358,0.0451,0.0029619999999999647,0.31579260392554886
149,0.3339,0.045,0.0017999999999999683,-0.12196018208878914
150,0.3352,0.045,0.0030999999999999917,0.21705555559243403
151,0.3355,0.0445,0.007090000000000041,1.4700767496196616
152,0.3395,0.0453,0.005186000000000024,0.7403564727181506
153,0.341,0.0455,0.005210000000000048,0.7198136392892451
154,0.3432,0.0459,0.004457999999999962,0.281628003350786
155,0.3425,0.0458,0.0044960000000000555,0.24092152238038886
