,JASMYUSDT,DOGEUSDT,Spread,Zscore
94,0.0092,0.0694,0.00017799999999999934,-0.4592859918759354
95,0.0092,0.0698,0.00012599999999999938,-0.6727704059939772
96,0.0092,0.0692,0.00020399999999999932,-0.2877626136020563
97,0.0092,0.0689,0.00024299999999999843,-0.09915048517740445
98,0.0093,0.0693,0.0002909999999999996,0.10842806856568042
99,0.0092,0.0689,0.00024299999999999843,-0.10239844369198192
100,0.0092,0.0689,0.00024299999999999843,-0.03955138814202101
101,0.0093,0.0692,0.0003039999999999987,0.32073970688622927
102,0.0094,0.071,0.00017,-0.3364669311183422
103,0.0094,0.0701,0.0002870000000000008,0.3984604416520904
104,0.0093,0.0695,0.0002649999999999979,0.4207795698341479
105,0.0093,0.0695,0.0002649999999999979,0.6574809150679702
106,0.0093,0.0691,0.0003169999999999996,1.34835700866412
107,0.009,0.0679,0.00017299999999999954,-0.0869221592397443
108,0.0091,0.0681,0.0002470000000000007,0.5969075024904094
109,0.009,0.0678,0.00018599999999999867,-0.011269208608869893
110,0.0091,0.0688,0.0001559999999999999,-0.3352689094634468
111,0.0092,0.069,0.0002299999999999993,0.3337958446926065
112,0.0092,0.0692,0.00020399999999999932,-0.026236874029097367
113,0.0092,0.0695,0.00016499999999999848,-0.5808773600383829
114,0.0093,0.0701,0.00018699999999999967,-0.6725667716684108
115,0.0093,0.0697,0.00023899999999999963,0.24768291377921817
116,0.0095,0.0707,0.00030900000000000025,1.4747303306666675
117,0.0095,0.0706,0.00032199999999999937,1.5328517083426514
118,0.0094,0.0701,0.0002870000000000008,0.8220680810160336
119,0.0094,0.0704,0.00024799999999999996,0.14424556850815248
120,0.0094,0.0702,0.00027399999999999994,0.5999422425064004
121,0.0094,0.0699,0.00031299999999999904,1.2147153774686645
122,0.0094,0.07,0.0002999999999999999,0.9890278332495025
123,0.0094,0.0702,0.00027399999999999994,0.4526661371640521
124,0.0094,0.0697,0.00033900000000000076,1.5420925715407148
125,0.0093,0.0695,0.0002649999999999979,0.22465889579891637
126,0.0092,0.0689,0.00024299999999999843,-0.14847061234900497
127,0.0092,0.0687,0.00026900000000000014,0.3676743341965049
128,0.0091,0.068,0.0002599999999999998,0.1324383575896793
129,0.009,0.0686,8.200000000000048e-05,-2.569000186409881
130,0.009,0.0684,0.00010799999999999872,-1.9296808895979567
131,0.0092,0.07,9.99999999999994e-05,-1.886793033276209
132,0.0092,0.0692,0.00020399999999999932,-0.4554731143621027
133,0.0092,0.0693,0.0001910000000000002,-0.6198099349698529
134,0.0092,0.0689,0.00024299999999999843,0.03020768403805291
135,0.0093,0.0696,0.00025199999999999875,0.11324846653190611
136,0.0094,0.0691,0.0004170000000000007,2.0369732924929145
137,0.0093,0.0685,0.0003949999999999978,1.6135520002069712
138,0.0093,0.0685,0.0003949999999999978,1.5003116989764949
139,0.0094,0.0688,0.0004559999999999998,1.8876129944123468
140,0.0092,0.0677,0.00039900000000000005,1.1967294454487396
141,0.0094,0.0686,0.0004820000000000015,1.7445917986196458
142,0.0094,0.0692,0.00040399999999999985,0.9902284316996305
143,0.0094,0.0696,0.0003519999999999999,0.5158685924830138
144,0.0094,0.0693,0.0003910000000000007,0.7900519847361699
145,0.0094,0.0697,0.00033900000000000076,0.35077664495415056
146,0.0094,0.0691,0.0004170000000000007,0.9286595916740819
147,0.0094,0.069,0.0004299999999999998,0.946131960315503
148,0.0094,0.0691,0.0004170000000000007,0.7734328718502533
149,0.0094,0.0692,0.00040399999999999985,0.6117652452608457
150,0.0094,0.0694,0.00037799999999999986,0.3249860941818431
151,0.0095,0.0691,0.0005170000000000001,1.4903810600298082
152,0.0095,0.0693,0.0004910000000000001,1.243131499576881
153,0.0095,0.0693,0.0004910000000000001,1.1757706814064257
154,0.0095,0.0697,0.00043900000000000015,0.4878479484481278
155,0.0095,0.0701,0.0003870000000000002,-0.42613970504341403
156,0.0095,0.0695,0.0004649999999999984,0.9114059593031574
157,0.0094,0.0693,0.0003910000000000007,-0.6311785167205461
158,0.0094,0.0689,0.00044299999999999895,0.41781788613706894
159,0.0094,0.0687,0.00046900000000000067,0.8828599562719065
160,0.0094,0.0688,0.0004559999999999998,0.6111341749165026
161,0.0093,0.0683,0.0004209999999999995,-0.14352987851923765
162,0.0093,0.0684,0.00040799999999999864,-0.3544886827554688
163,0.0093,0.0685,0.0003949999999999978,-0.6248640450501867
164,0.0091,0.0671,0.00037699999999999886,-1.0790143026651982
165,0.0089,0.066,0.0003199999999999991,-2.047870197026499
166,0.009,0.0661,0.00040699999999999764,-0.38862006001464117
167,0.009,0.0662,0.00039400000000000025,-0.6405006964381421
168,0.009,0.0668,0.0003159999999999986,-1.9651080389681184
169,0.009,0.0667,0.00032899999999999943,-1.5312367528432793
